FFID	Line	Point	Gps-time(us)-UTC Date	UTC-Time	Time-Source	Latitude	Longitude	Comment
207	5.0	7.0	1347334615311491	2022-09-16	03:36:37.311491	GPS	234342.924	1143858.668	
208	5.0	8.0	1347334628269337	2022-09-16	03:36:50.269337	GPS	234342.996	1143858.668	
209	5.0	9.0	1347334640427233	2022-09-16	03:37:02.427233	GPS	234343.032	1143858.704	
210	5.0	10.0	1347334655194667	2022-09-16	03:37:17.194667	GPS	234343.140	1143858.704	
211	5.0	11.0	1347334667597511	2022-09-16	03:37:29.597511	GPS	234343.212	1143858.740	
212	5.0	12.0	1347334680943656	2022-09-16	03:37:42.943656	GPS	234343.320	1143858.740	
213	5.0	13.0	1347334694796658	2022-09-16	03:37:56.796658	GPS	234343.428	1143858.776	
214	5.0	14.0	1347334707983603	2022-09-16	03:38:09.983603	GPS	234343.500	1143858.812	
215	5.0	15.0	1347334722674368	2022-09-16	03:38:24.674368	GPS	234343.644	1143858.812	
216	5.0	16.0	1347334742760605	2022-09-16	03:38:44.760605	GPS	234343.788	1143858.848	
